ROWKEY,COMMCONTENT
100001,人多，昏暗，难闻，不好玩。是我见过最差的海洋馆，据说建设年代久远了。里面奶瓶喂鱼25元，小孩小孩。
100002,不错！风景迷人！漂亮我们都喜欢
100003,一个祈福的去处，但如果爬泰山的话，可以来岱庙了解下历史文化，走过了好多山和水，感觉主要看的不一定是风景，例如给水池里的喂食，围着扶桑石左右转圈，将福气装兜里等……，这些也是旅游的体验，
100004,观唐温泉果真比较可以，而且整体的环境可以，午间特点免费的食物，全天不限量供应水果，温泉里面的食物也不算太贵。话说特色80过个池子，我也没有数，不过确实很多，而且香薰室周围和最里面的地方特色类似炕的房间，地面都是热烘烘的，十分温暖，第一次在温泉里见到这样的设计。
100005,一般，景区扩建没钱停了。连景区游览图都没有。人也没几个。不值45的门票钱。
100006,真的蛮大的，很漂亮。值得一去。
100007,环境挺好，美食挺好，希望越来越好
100008,风景很好，去的时候黄河水很少，，可以有各种动物观赏，丹顶鹤等等，还可以挖螃蟹，总体不错
100009,圣人的故土，第一次去，被浓厚的历史文化深深地吸引住了！朝圣之旅！
100010,感觉不错～地下裂谷确实值回票价，很是壮观，灯光打下来也很漂亮，千奇百怪的石头，竟然是水滴石穿而成，很神奇…可惜交通略不便，da
100011,从威海室内开车到景区要一个半小时左右，参观了摩天岭和成山头。摩天岭需要上下很多级台阶，累够呛，下来时坐的缆车，大概半个小时，可以看看风景，开始是海，后来都是森林，至少省力了。然后去成山头景区，需要坐电瓶车过去，自己走太远……福如东海区，很多寺庙，没什么意思，大概看看吧，我们逛了不到一个小时。然后去了好望角，就是靠近海边的一个山顶，有连廊可以休息，吹吹海风，野餐一下还不错～，这里没什么可逛的，就是看风景。网上订票160一个人，感觉太贵了！真是不来遗憾，来了后悔！
100012,夏天去的，公园很大，儿童乐园很多，绿地也不错，停车比较费劲，马路旁边，离大门远了一些，不过免费呦。
100013,老公陪儿子去玩的，儿子回来说好玩
100014,儿子玩了最想玩的过山车，很开心，他说很好玩
100015,典型的得势建筑。在青岛，你可以到处看到这样的建筑。青岛的美也在于此。国庆节去的。这个景点值得推荐。不错。
100016,天尽头，中国的最东端，三面环海。
100017,我们是让导航导到湿地来的，实在没有什么好玩的，根本不值，特别需要提醒大家的是，在出口处卖鸭蛋的是假的，全是化学原料做的，害人害己，挣昧良心的钱。
100018,来了威海不管好看不好看都必须去的地方，城市名片
100019,建筑规模宏大，景区干净整洁，名气太大了，必须来。
100020,便宜不少 孩子们很高兴。济南动物园的小动物们也很可爱。就是景点里游乐场那些玩的太贵了，时间还很短
100021,景色秀丽，好多游客前来旅游，人山人海，热闹非凡
100022,溶洞不错！漂流也值了，就是从携程买票多了不给退，多花200快很不开心！
100023,韩组svbauajabahahhavxyduwh and mother of one direction were on my mind and田的是我在等你来
100024,大人胆子大的行，好多吓人的，领孩子来，太多需要花钱，不再来了，大老远来的有点失望，类似的景点可以家附近玩玩的
100025,公园虽不大 但山顶的旋转塔能俯瞰整个青岛老城 景色很美
100026,非常满意，体验了海洋的乐趣，强烈推荐。
100027,很不错的景区，啤酒不错纪念品很赞
100028,很好，不错，有机会还要看。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。
100029,观塘温泉很美了，服务态度不错，风景美！我们还会再过去的，流连忘返。
100030,蓬莱阁还是一如既往的好，现在周边又有了新的景点，值得去看看哦
100031,开发不是很久，但是别有一番味道，不去不知道，去了就知道
100032,海洋馆表演不错，门票价格也不贵，推荐
100033,景区很大，人不多，停车场不正规，收费偏高
100034,很好的旅游景点 周末情侣一起去 不一样体验
100035,真心不觉得有什么！也许啥我大西安太优秀了……和西安的景点比起来性价比还是有一定距离哒……
100036,朋友极力推荐的地方，来玩了，自驾，真不错，大裂谷特别大，在里面转了1个半小时，出来走完了好多游乐项目，值回票价！！！
100037,风特别大，成山头比周报冷。景色值得去，但票价比较贵，而且70岁以上老人门票还要110元/人。上厕所也适合开车去:)
100038,挺好的，家人一起去的，得去办公室换票。里面的寺庙有几个和尚，但是感觉是个便宜一步步下套让掏钱
100039,挺好，看了大半天，取票也很方便，人不多。
100040,很漂亮，鱼很多，孩子很喜欢去那里玩
100041,一个非常大的广场，周围是繁华商业圈，离云霄路挺近
100042,还不错的地方，玩的很好，但去的时候，水很少
100043,一家三口很棒的游玩体验，动物种类齐全，需要四到五个小时游玩时间！
100044,很值得去.就在定远镇不远处.气势宏大.三个字:好.好.好.下次有机会再来威海.还住在就公岛附近的国际商务酒店.不但服务好.环境更好.景点就在眼前……
100045,便宜，缺少点灵气。山顶好风光，很可惜无山泉，沿途只好看看松树，形状道也不错，20元值了。
100046,没什么意思，动物都被关在玻璃屋内，观赏性特别差，动物种类也少，算是动物园里比较差的
100047,山东威海西霞口的成山头，气势磅礴，雄伟壮观！
100048,动物品种挺多的，游乐场的游玩项目也不少，就是感觉园区太大每个游览点距离挺远，走一圈下来挺累的。还有指路牌不够详细，好多地方不大好找。还有园区环境需待加强，乱扔垃圾和随地大小便现象屡见不鲜。感觉硬件设施需加强。
100049,7月27号从乳山银滩报团大巴游，乳山大巴2小时30分钟左右到达蓬莱三仙山，三仙山大门口大瀑布和假山在着拍照留念人很多，每栋建筑物里陈列的都不一样，记忆最深刻的有着几千年的书化石和蛇化石等等，最赞的还是三仙山的建筑不多说了上图大家瞧瞧
100050,服务超级差，态度很是个强硬。除了户外温泉感觉比较有意境，没有别的了。
100051,一个是工作人员态度差，再一个风景区卫生管理差，山上很多垃圾，山上的卫生间也都没有开，只开了一个山脚下的。我看虽都是四星但比烟台山差远了！白糟蹋了这么好的风景。
100052,虽然过了一段日子但是还是很震撼，服务都很周到，感觉真的值了，以后出去旅游还是会优先考虑
100053,泉水清澈，沁人心脾。景色宜人，空气里弥漫着清新
100054,第三次去了，主要朋友想去，带他们去得，木啥玩头，坐索道上去的！
100055,雨后去很清凉，坐船在湖上连片的荷花感觉很棒
100056,跟朋友一块来玩的，因为是蒲松龄故居，特意去参观的狐仙园和聊斋宫，很有意思，最后还去了蒲松龄墓园，最有趣的就数人造仙境了，感觉好极了。
100057,这是济南的标志行景点，其实有点过分商业化，原本最有特色的地方藏的很隐秘好不容易找到，反而大都是新修的过分突出的一些东西
100058,日照可以玩的地方其实不是很多，从市区开到九仙山大概要一个小时多一点，一段高速一段国道，总体来说路挺好走的。在网上订好票68，再加上游览车20，停车费每辆10元，价格还是有点偏高的我觉得，景区风光一般大多是人为建造的，而且景点与景点之间距离还是蛮大的，一定要坐景区的游览车，千万不要省了这20元钱，否则要走死了！
100059,景色非常的好，很美，服务人员也很热情
100060,很漂亮的村子！节假日去人多，但值得一去！
100061,杂技还不错 可以来看看哈哈哈哈
100062,环境很好，就是种类太少，票价总得来说有点高！
100063,"去的那天天气不太好，景色一般，携程写的开始兑换票的时间不对，携程写的8:30 ,去了现场才知道是9:30开始，白白等了一个小时。"
100064,因武松打虎而出名，景区内有很多古色古香的建筑！风景相当优美！
100065,非常好玩，很有古时候的味道，很适合情侣孩子家人来玩
100066,是个人造景区，没有什么历史价值。是个吸引游客的游览加购物的地方。
100067,也就树木体现了历史的见证，仿古建筑比比皆是……
100068,非常棒新鲜啤酒 啤酒工艺 
100069,滑道上下30元，单上15元，单下25元。索道下山20元。滑道下山比较好玩。
100070,带家人去的，大家玩的很开心 有空还去
100071,景色宜人趣味好性价比超高的人气爆满！
100072,还可以，卫生间比以前多了，也干净多了。。zzzzzzz。zzzzzzzzzzzzzzcccccccccj？j？j？j？j？j
100073,没来过的应该来一次，更喜欢威海国际海水浴场
100074,演出以泰山历史文化为核心，以泰山自然山水为背景，充分展示泰山文化的独特价值与精深内涵。《中华泰山 封禅大典》就是以泰山文化为创作素材，通过秦、汉、唐、宋、清五朝皇帝登山封禅的历史背景为创作主线，表现了华夏民族敬畏天地的精神导向，弘扬和歌颂了中国历史文化上所呈现的“天人合一”精神。
100075,这里是我个人觉得泰山之行最惊艳的地方，甚至超过了泰山本身。喜欢这里的平静，顺和的气息。正是因为它没有泰山的商业气息，人也不是很多，所以更突显了它的庄重，虽然并没有被很好的管理和保护吧，真是很伤心中国对文物和历史的漠视。以后能看到的可能更少了。如果再来山东，我不上泰山也一定要再走岱庙。
100076,带宝宝来玩的，动物比较全，就是中午天太热，动物们都躲在里面，没怎么出来，下午的时候才出来，没有大象，建议电动车租赁时间可以长点，就一小时太少了。
100077,说到华夏城的最有看点的是观音音乐广场，全是金黄色铜建成的，尤为晚上演艺神游华夏节目，是目前最红火和1的演艺。非常不错
100078,适合春、秋季自驾游去，景区很大，可以开车进入。大部分是自然景观。天气好时可坐船到河海交界处观看黄河入海。夏天最好不要去，里面基本没有什么遮荫凉爽的地方。
100079,景观很壮丽，乘船去挺好玩的，周边还有其他很棒的旅游景点，再多些特色菜就更好啦！
100080,不错的体验，海上近半小时景色不错，性价比较高，比现场买票便宜不少，下次还预定，携程就是方便
100081,景区很大，下午3点多开始爬太阳小了很多，可惜万佛洞没有开，整体还是不错的，票价也便宜，离市区很近
100082,还好 有的排队时间太长了 一个项目将近2个小时
100083,很棒的游乐园，游乐设施齐全，尤其喜欢蓝火过山车。
100084,很有特色，值得一游，特别是马术表演很真实
100085,很好啊 不过全程步行的话需要走的时间很长
100086,在网上预订的海上观光船票，原价30元，现价只要9元，很实惠。兑换票很方便。由于是旺季，等待时间很短。 上船后，路过栈桥、海军博物馆、海关大楼等景点时，会广播讲解。 船行驶的很平稳，很轻松悠闲的一段旅程。
100087,深山埋幽谷，用这句话形容最贴切，虽然没有奇石怪峰却也自然天成，走在密林如织下的小石径上也倍感安逸舒适。适合全家出游
100088,还是错的，有很多电影可以看，娱乐项目也不是很刺激，孩子高兴！
100089,整体环境还不错，开发的比大珠山景区好一些
100090,非常值得去体验一下.真的好刺激！女儿也非常高兴.
100091,门票现场买15，学生证没优惠，老年证如果去观景台10块 所以还是携程的便宜，只是取号机器的人只弄到四点半，
100092,有小孩的话很值得去，孩孑玩的很开心，马戏表演不错。环境很好，这几天人不是很多。
100093,很好玩值得家人朋友一起来玩，有很多好看的风景和好玩的
100094,很好 绕的很开心 杨柳絮也很给力
100095,心脏不好的别坐摩天轮，动物园太大了，拿好吃的和水，里面的东西太贵，哈哈哈哈
100096,漫步在院落中心自然就安静了下来，只有身临其境才能体会。
100097,文化气息浓，碑文书法飘逸，柔美，是书法爱好者的天堂。
100098,没有什么特色，浴袍很容易就湿了还不给换，小鱼温泉只能进去一次，出来就不能进了
100099,历史性比较强，秦皇汉武都说到了，灯光效果不错。非常有意思，家人一起观看，就是有些冷。
100100,我国版图海岸线的最东边，来了就一定要看日出！当地的渔家乐几乎都可以在房间内看到海上日出，当然走到海边看感觉更好。自然风光可以用壮观形容，人造景观个人不感兴趣就不评论了，景区面积还是很大的，可以多安排一些时间或者省去人造景观的参观时间。
100101,总的还不错，就是餐饮不行，方便的话自己带食物
100102,夏天玩狠爽。很凉快 
100103,还可以，挺漂亮。里面很凉爽。！
100104,青春年少热情奔放的广场青岛的地标
100105,希望大家多多来玩，真的好干净啊
100106,惊险有刺激，这次是和同事们一块去的，下次带着家人一块来。
100107,岱庙作为景点来讲还可以，持教师资格证可以享受半价优惠。但是有一件事不吐不快，我们在里面游玩到接近下午六点的时候，保安居然出来用极其粗暴的态度驱赶我们，我们表示不满，有一个看来像保安负责人样子的中年人态度很嚣张地说，就算一个游客也不来我们也有饭吃。像这样的服务态度现在真是很罕见，严重影响了泰安作为旅游城市的形象。岱庙还是应当加强对工作人员的管理，提高服务意识，改善工作环节，真正为游客营造宾至如归的氛围，不能让个别的害群之马损坏了泰安乃至山东省的形象，给好客山东的品牌抹黑！
100108,环境好，沙滩又干净，现在又从新建设更漂亮了。
100109,葫芦型的小岛，很有特色，取票方便，工作人员服务也很周到，但是太商业了....总的来说还可以。
100110,值得一去的地方，看了青岛啤酒的历史，还品尝了青岛啤酒的原浆，很纯很棒，啤酒豆真的太完美太好吃了！
100111,九仙山是一个天然的大氧吧。尤其是大峡谷。它有飞流直下的瀑布，有险如天堑的玻璃栈道，还有一眼望不到边的黑龙潭……
100112,广场并不是很大，济南的夏天真是热死人
100113,到威海这个地方还是值得一去的。
100114,定了票去了以后被告知，维修所有娱乐项目都不开，为啥不再网站通知，还照常买票。如果想看看一人20块，再加10元停车费。没办法已经去了，坑爹也认了。说是维修连一个干活的都没有，其实就是冬天人少不够费用找个理由就是了。这也是第二次去，其实就是一土山在不同位置搞个娱乐项目让人玩，主要是小孩，没有啥特色，设施也都年久失修。或许天暖后会好些，但实在不敢恭维，性价比极低，如果想玩游乐设施建议换个游乐场都不会失望，真没必要跑这
100115,地方大，干净，内容不多。也很有教育意义，就是价格偏高。
100116,真的室内项目很不错，水漫金山，聊斋，极限飞越，魔幻城堡都很喜欢。
100117,从携程付款订的票，直接去景点排队刷身份证就行，项目都很刺激，各种过山车，蓝火很好玩，雷神之锤等等
100118,人造景观，两个岛，一个种薰衣草，要108一张票，一个说是孩子玩，全是破烂，要80，通票要168，其实就值20，30的，不推荐，尤其青岛人别来了，太差，糊弄外地人和主要发农村团的，我们花10块转了一圈出来了，浪费时间，改地雷战了
100119,小桥流水人家。。。看了节目，古镇特别水灵
100120,小时候来过，感觉很大，现在感觉很小了……时代在发展啊
100121,门票70，还不包括船票。景色也就那样，走了好多路，湖都快干了
100122,有点进了古城的感觉，比江南的建筑多了些宏伟壮观，因为很多传说，所以把这里营造的比较美，比较有意境
100123,孩子喜欢 一路开车上去的，爸爸休息。我们自己步行，累了就孩子爸爸车上坐会！
100124,五四广场因青岛为中国近代史上伟大的五四运动导火索而得名。五四广场分南北两部分，分布于中轴线上的市人民政府办公大楼、隐式喷泉、点阵喷泉、《五月的风》雕塑、海上百米喷泉等。
100125,第一次在携程购票，很顺利，很快捷，景区有专门的服务人员，取票很方便，以后还会再次光顾。
100126,公园特别大，环境清幽，景色秀美，梅花泉比趵突泉还要美。
100127,总体来说，一天的出游是非常开心的。和妈妈，弟弟，弟妹，孩子们一块去动物园，从一进门，孩子们就高兴的看猴子，随后在7岁儿子的带领下根据路标看各种小动物，大老虎，还看了海豚，海狮，行程持续到下午两点左右。
100128,济南的知名特色，坐在喷泉边上来壺茶，品茶看风景，别有风味。
100129,5D电影，强烈推荐，整体景点适合带着孩子去，我觉得最大亮点就是5D，其他的都一般，海豚白鲸表演时间有点短，周天去人也不是特别多，门口有喂海豹的20一小碗！
100130,小桥流水，石头房 ……村里很多特色小吃，很实惠。山上游乐场很好玩，
100131,比方特好玩多了，游乐设施比较多，一天根本玩不过来，太刺激了，有机会还回来
100132,景色非常美，海水清透，周边环境保护非常到位，整洁！绿化覆盖率相当不错，而且还不收费！的确是享受啊！
100133,令人流连忘返，很幸运的看到了夜景，我觉得三仙山景区不止5A景区这么简单，它应该属于5A+，我的推荐你值得信赖，海市蜃楼皆幻影，身到蓬莱即是仙。
100134,环境可以，就是没有水干旱啊，性价比不高门票贵。
100135,一次性景点，来一回不会再想第二回
100136,很好，就是厕所太脏了，动物也懒不怎么动，租车太贵
100137,水浒传里的核心集中展示，人造较多。
100138,见识了啤酒的制作流程品尝青岛原浆啤酒
100139,适合孩子游玩！能学到很多有趣的海洋故事！能和如些多的海洋生物在一起很幸福！孩子在里面玩的很开心！希望增加动物表演时间！！
100140,在携程价格很便宜景区比预想精彩的多很适合工作之余放松心情的地方
100141,就是一个室内游泳馆，有几个温水池子。80块钱泡个热水澡，超不值，设施老旧，室内超小，没意思。服务态度不好。取票还得打车去到旅行社取很不方便。
100142,在市里，没觉得有什么玩头，都是一些兵器之类的
100143,特别好，可以感受明朝建筑以及戚继光从家从政的很多细节！
100144,去过最好的游乐园了。比欢乐谷强上有百倍。有很多娱乐项目，一票通玩。我们一直从开门玩到关门，把所有项目都玩了一遍。我们是周末去的，人比较少。除了激流勇进需要排队，其它的都可以直接玩。很不错的地方，地方挺大的，每个地方都有玩得项目。门票稍微有点小贵，不过真的很值。很好的一次游玩体验。满意！ 
100145,这是根据中国民间传说故事，把这个道教传说，在海上人工岛上筑成一组美丽的风景。值得一游。
100146,新建景点，除了那两个牌坊之外好像没有什么其他的老东西，中规中矩，没有特别的亮点，不过冲着这位抗倭英雄，去看看也值了。
100147,这个门票花的真的是太值了，而且一定要去旋转全景馆里，青岛的全貌尽收眼底，真的是太美了，红瓦绿树，碧海蓝天，一点都不夸张，太美了，一定要去
100148,非常好的景点，值得一来，玩的项目挺多的，美中不足的就是限制身高的有点多
100149,观塘温泉在汤头，位置和环境都是非常好的。
100150,本来是蓬莱的亮点，应打造成城市名片。作为爱国主义教育基地，理应免费或低价，50元的票价太高，使名将故里在商业氛围中蒙羞了。
100151,刺激项目多的乐园。人不多，排队的人就少，很多项目可以玩好几遍，不足是开放的项目有时间限制，另外检修的多。
100152,景色还不错，可惜没有遇到趵突泉的喷涌
100153,观唐温泉位于山东省临沂市的千年温泉古镇——汤头，风景秀美的沂河东岸。适逢盛世，临沂佳和房地产开发公司投资3.2亿元，用地近260余亩，建筑面积10万平方米，兴建“观唐温泉”，恩泽乡里，共沐厚德。
100154,很不错，有小香山之称。不过路很长，需要一定体力。
100155,挺好的，动物有很多种，还有节目表演
100156,"一共去了2次, 第一次是周末下午,转了5分钟就闪了,人太多. 不甘心,第二天一大早去的果然人少了不少,估计八大关人最多的是在紫荆关路,公交车武胜关路站就停在这里。强烈建议早上去八大关，下午就被旅行团攻陷了 . 对于见惯花园洋房的上海人来sho,这里没有特别惊艳,人少的时候,还是值得看看,拍拍 区域挺大， 徒步有点吃力， 不过上坡挺多，有些区域还仅限步行，所以骑车也不算方便，额，可能去的早，我也么看见有出租自行车的 续闲逛，大多数老房子几乎全部大门紧闭，只能看看外观，连便利店和咖啡馆都么有。所以大家要自带水和干粮 八大关拍结婚照的新人好多，和外滩差不多。"
100157,我是从日照过去的。感觉很好，水温合适。环境也好，水质清。一家老小都非常满意，计划着抽空还要过去。
100158,第二站竹泉村，风景优美，溪水潺潺，适合消暑，住在村里，干净卫生，热情好客！
100159,十月三日，外边停车不便，里边人山人海，只有一条游览路线，是很窄的桥，没有任何管理人员疏导控制人数，都是带着小孩子，人挤人，一旦发生挤倒，就是不可想象的大问题，因为害怕，走了四分之一，就寻了一个出口回去了。荣成，至少西霞口的景区，管理是个大问题！
100160,树木葱茏，景色宜人。从山上可以俯看济南城，只可惜，雾太大，白茫茫一片。
100161,没水去不好，要提前看看下雨了没有再去
100162,价格有些小贵，景区不大，1个多小时就能看完
100163,配合三孔建成的景点，有20年了吧，诗书礼御乐射，射可以体验一下射箭，没什么意思。
100164,挺不值的，门票确实不值这么多。
100165,远比我想象中的好的更好！场面逼真壮观，历史感很浓，每一个朝代的特点鲜明，希望更用些心思，将来完全可以申请文化遗产啊！建议带已经懂事懂历史的孩子去看看，能学到很多！！不过携程上的票，位子简直太偏了吧！！就算是D区，也不用是D区最偏的位置啊！再建议有经济能力的还是买A区，观看效果是不同的。
100166,环境广阔，风景宜人，适于旅游度假的好地方！
100167,暑假自驾来了青岛的八大关景区，一大早八点就来了，下着蒙蒙细雨，走在路边蛮有风味。还有第二浴场就在附近，总体来说还行吧，可以去溜达
100168,我在日照任家台民俗村（观海居）渔家乐吃住一周。民俗村就在海边，三面环海，离海非常近，海边风景秀丽，可钓鱼拾贝。步行来回，可以不用动车，非常方便。这里民风淳朴，尤其是观海居渔家夫妇，热情招待。实话，吃就怕被宰，但在这家夫妻店不会，吃住没有压力，消费非常清楚，而且海鲜做的量足味美。来这里吃住的以北方人较多，容易交流，很多都是常客，由店主介绍认识，大家相处也很融洽。遗憾的是都六月天了早晚太冷，没带外套，穿了个短袖，真tm嘚瑟。
100169,第一次去游乐园 很带感 玩的看的都不催 推荐
